V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
12899.37;38335.49;64679.32;46153.57;30733.15;12135.37;7646.11;4279.49;2329.98;1355.95;558.43;331.36;252.47;73.22;18.61;18.16;93.07;327.38;94.05;381.01;264.88;863.06;197.99;363.51;302.49;1.67;3.86;68.18;-17.17;60.31;362.11;52.54;263.90;478.89;32.04;328.67;57.53;462.99
12890.38;38724.38;64276.25;44457.03;31387.65;11962.06;7722.52;4557.05;2363.35;1641.47;743.77;497.69;596.73;310.48;32.23;141.96;205.82;197.01;154.58;329.22;524.43;1081.74;-61.36;92.51;-91.58;105.67;-129.57;130.84;16.45;-62.15;227.98;-36.26;255.09;231.72;-220.71;123.31;-92.80;-68.90
4564.05;1670.16;1558.58;1743.71;2225.74;1494.04;1188.56;1022.78;920.50;1007.91;124.25;158.03;180.09;296.28;131.13;31.62;302.14;-9.12;431.82;380.33;105.15;1139.58;-4.17;-72.24;194.79;232.35;159.03;-8.52;11.73;94.30;477.53;25.14;43.73;226.93;-42.60;79.27;-96.24;120.74
12701.36;37040.70;61626.26;43774.84;29796.64;11424.39;7575.86;4006.87;2137.72;1724.55;511.50;366.63;211.45;112.51;-45.35;-115.96;18.03;120.81;658.89;264.49;573.54;896.80;291.68;450.68;-172.22;238.76;-135.81;5.84;124.82;43.69;418.25;79.57;237.74;154.82;-37.20;147.05;-29.95;461.35
4238.83;1375.83;1686.32;1394.77;2322.07;1037.61;1248.30;971.24;678.75;523.34;242.17;319.69;569.99;148.97;-240.82;-7.55;-29.22;69.46;424.98;133.63;73.99;1023.12;-37.36;-132.56;112.15;156.81;-156.41;-269.79;-124.90;452.61;547.29;-53.09;396.57;371.35;-182.60;300.66;66.33;149.18
12476.41;36358.34;62305.00;43435.40;29613.11;11439.29;7553.28;4588.34;2450.64;1501.41;626.28;304.39;322.19;36.92;-108.46;-16.72;-35.29;-49.15;495.18;154.19;222.87;630.92;119.55;57.72;156.97;46.80;-54.07;177.69;164.98;205.03;308.17;-7.05;47.30;189.80;-97.45;202.49;239.74;88.15
4109.05;1590.81;1856.14;1507.26;2315.69;1461.53;1235.36;1083.79;505.58;790.00;376.84;136.76;271.25;213.76;271.62;104.39;43.18;88.84;630.41;131.59;334.76;834.48;-7.02;154.52;326.47;25.55;-22.38;177.41;113.61;77.52;44.49;-208.90;-133.18;-138.04;-352.75;-20.87;39.77;123.80
24950.85;70633.94;121427.22;84537.16;58334.32;22366.63;13933.03;8403.86;4175.95;2505.54;973.63;744.46;777.78;-29.15;159.94;25.88;235.47;336.06;781.25;373.07;606.70;1494.21;74.40;460.18;135.26;276.75;65.68;27.05;-85.43;165.49;730.07;277.94;558.89;497.66;-146.85;415.23;302.47;868.46
32755.15;111880.92;184723.44;129051.09;88696.70;34073.27;21153.18;11674.68;6237.87;3681.91;1536.02;622.96;864.03;556.34;-92.43;428.94;292.13;229.60;513.59;575.56;649.80;2062.58;337.01;208.40;133.22;327.22;319.01;-1.48;328.39;80.69;464.04;-63.03;-246.20;34.25;-650.53;25.05;-719.56;1.18
4680.85;1814.36;1714.97;1999.70;2744.00;1278.01;1412.63;1066.12;610.99;589.68;469.96;363.95;299.82;50.29;-154.27;141.88;294.38;30.04;391.50;576.10;259.82;1081.37;-142.97;37.21;30.15;144.37;31.61;23.21;-133.55;45.14;41.33;-135.09;-34.11;75.40;-499.48;-5.37;-148.49;-148.77
12284.48;35030.95;59598.50;42610.55;28947.14;10908.46;6923.01;3786.46;2096.75;1093.50;562.26;423.69;285.91;109.35;181.73;-104.71;151.55;121.03;190.22;366.49;235.36;722.04;-215.38;-71.51;217.77;-16.50;-157.52;84.22;43.56;196.42;235.42;-40.54;73.08;20.56;-50.35;103.79;88.38;76.48
4857.79;1703.83;1666.49;1573.80;2214.97;1407.63;1602.58;1023.83;753.25;528.75;363.75;407.27;159.22;238.67;-74.87;248.20;319.87;206.61;-16.88;369.67;235.17;958.06;37.68;50.46;128.63;-13.11;-215.65;-100.71;114.65;-205.77;322.17;-243.15;-2.51;173.10;-33.53;-52.24;-35.44;120.66
4368.65;1802.52;2321.11;1639.55;2007.21;1404.30;998.22;1116.44;604.29;875.51;259.13;409.47;359.13;183.15;-42.60;-10.61;-33.51;294.53;486.59;367.76;310.12;951.03;125.17;193.33;173.45;93.47;32.64;-104.19;179.07;-113.86;264.52;-23.54;8.93;39.49;3.51;98.66;-85.93;250.26
4540.83;1510.81;1799.72;1651.50;2259.16;1179.15;1024.27;977.42;774.26;506.95;540.69;146.36;279.29;283.15;-156.13;-163.30;95.46;64.26;192.60;259.96;183.05;690.91;189.52;294.88;-73.60;-133.33;64.09;-23.37;-70.86;-88.98;369.72;-7.09;170.19;283.48;0.91;0.70;354.28;370.55
4930.17;2486.56;2705.84;2221.50;2857.36;1774.18;1819.05;1248.19;890.94;1076.67;71.85;194.77;226.02;258.24;11.63;143.25;143.70;185.56;595.71;553.68;58.73;1034.30;207.63;74.75;170.50;50.10;160.54;-80.14;-240.00;244.10;200.69;80.78;183.25;453.50;442.53;246.41;67.72;351.79
