V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
4285.60;1865.60;1845.65;1703.16;2313.89;1447.37;9802.20;146965.14;93564.72;51626.07;15889.36;7651.13;6750.67;1481.26;617.43;467.47;217.48;709.47;31526.19;479725.72;342914.88;250965.91;16196.88;43664.00;29982.99;18891.08;8401.18;3480.29;3768.30;2239.44;436.03;30.76;239.23;130.12;126.68;-92.51;-152.63;-42.26
3656.79;1742.33;1688.87;1347.33;2297.53;1598.60;9022.96;140611.44;89367.42;49095.78;14278.60;7489.98;5710.52;1664.41;786.51;310.24;263.48;936.83;32472.18;472305.22;339612.91;248030.77;15544.77;41350.06;27746.57;18807.37;8194.48;3833.59;3195.99;1907.49;600.94;18.05;-121.02;139.02;-85.45;197.00;1.92;-216.40
6041.99;3088.83;3205.46;3130.20;4097.63;2354.62;2115.71;1729.25;1555.30;981.63;371.80;455.72;391.57;202.29;89.09;162.70;22.19;-58.89;308.84;704.74;524.97;1194.18;-62.99;76.80;375.37;208.75;95.86;-0.64;-175.46;-104.55;207.97;-21.02;-230.59;86.13;72.74;-127.33;-138.63;-65.92
3955.63;1620.00;1642.85;1426.69;2043.87;1008.03;838.80;885.90;752.95;536.31;478.05;305.38;159.55;-33.31;-80.16;-80.72;113.36;119.71;335.75;171.44;433.31;1095.34;-203.38;75.43;-221.08;63.90;322.91;140.20;41.19;27.81;406.60;-212.05;-95.62;-48.51;45.11;28.87;178.86;-33.94
3964.62;1638.47;1673.60;1547.59;2140.43;1512.62;8856.85;135881.92;86518.98;46433.74;14118.15;7426.92;6394.08;1741.24;917.98;268.41;264.95;826.94;31939.07;462662.97;332290.28;239939.86;14520.10;40798.88;27805.73;18188.50;8271.13;3490.18;3978.08;2140.48;536.61;129.67;49.47;249.11;75.47;48.39;-61.79;173.41
4150.77;1950.59;1675.66;1908.48;2010.84;1321.65;9574.91;146737.36;94422.38;50000.96;15885.01;6980.92;6284.76;1459.29;1084.10;211.40;313.03;1034.12;33432.48;476428.47;340720.06;251085.11;15036.08;40854.77;29069.47;19199.32;8380.38;3254.39;3500.44;2783.26;352.95;184.27;92.35;230.75;-195.47;173.50;202.55;-53.56
3685.14;1617.03;2141.81;1451.89;2446.85;1254.13;1184.18;737.37;753.77;416.56;33.28;313.47;36.73;17.98;309.60;48.70;184.71;229.87;365.40;331.49;765.66;816.91;-78.71;231.82;-42.45;205.60;171.00;91.78;140.04;-116.05;506.38;270.51;-127.36;122.04;416.30;24.11;14.65;164.31
4052.30;1680.02;1850.22;1856.12;2395.62;1319.81;10139.63;151086.41;96277.47;53382.63;15853.76;7877.88;6461.18;1613.12;746.36;485.96;497.65;844.07;31158.09;447846.78;321635.25;236198.86;14288.20;39608.80;24965.38;18377.91;8253.72;3482.85;4705.36;1882.03;568.27;180.33;-25.35;29.74;46.39;207.66;-49.72;-264.00
390.15;608.30;977.14;880.23;1272.99;627.90;763.82;698.75;449.75;451.73;237.39;191.23;232.06;-62.13;-76.40;-2.85;-47.29;108.61;380.25;407.11;407.98;616.81;-47.01;127.99;254.86;-82.63;-11.93;129.39;-16.85;170.14;-21.82;-63.03;110.85;-166.77;-170.27;-125.07;-196.08;-232.88
4654.77;2418.23;1796.96;1854.99;2919.83;1639.22;1529.29;1099.52;939.77;587.48;217.97;335.64;176.50;-48.80;19.42;118.98;168.02;136.23;340.29;557.45;490.85;726.33;-66.71;74.66;36.37;249.69;196.52;173.01;346.97;-32.66;152.25;41.46;100.30;-193.46;156.66;3.28;-237.37;462.21
4217.03;1898.88;1984.76;1601.70;2122.49;1208.42;1243.92;1183.85;644.05;575.66;421.40;448.63;401.32;48.51;-19.46;479.77;297.25;225.46;248.94;406.43;224.38;1258.59;21.47;297.90;13.30;18.77;22.14;29.41;19.90;50.03;220.58;112.55;-17.48;135.93;43.05;-77.91;-104.47;-213.34
4272.92;1336.22;1725.80;1646.92;2143.62;1534.62;8582.46;138522.00;91123.84;49330.96;15164.23;7613.91;6163.19;1717.69;832.32;255.76;500.34;1444.44;33319.71;484102.66;346742.03;251804.13;16305.43;43339.99;28840.94;20588.90;8663.82;3699.63;3064.24;2190.23;427.66;689.03;82.95;528.04;108.87;230.37;23.90;641.12
5193.20;2378.27;2943.52;2378.38;3247.26;1845.83;1454.83;1514.44;1086.45;608.36;239.97;525.70;414.56;138.05;149.83;-19.73;163.21;282.33;492.89;586.68;236.72;1224.04;3.49;-109.77;-87.68;198.51;-8.71;255.63;-146.16;100.87;550.53;144.57;56.66;333.04;476.39;197.36;152.22;362.64
498.95;792.97;1304.57;1290.82;2186.36;1301.28;1108.68;1393.35;1003.13;687.23;393.63;312.52;44.69;247.44;53.30;83.02;150.99;86.06;66.83;1593.73;914.18;1070.92;-49.50;375.02;99.76;334.59;187.38;-181.41;61.69;147.61;-202.84;-356.12;-109.79;-261.91;-308.05;-320.47;-212.90;-397.47
5382.82;2666.32;3208.79;2721.96;3249.71;1923.35;1951.56;1378.05;1138.70;996.35;372.19;376.10;331.68;191.45;-239.17;77.55;85.27;352.40;482.99;491.04;296.04;1430.25;73.95;166.25;389.67;-23.68;281.09;24.93;-1.12;199.16;787.38;42.85;220.09;418.03;150.81;83.74;-60.31;220.89
3790.38;1771.56;2060.61;1389.76;2651.51;1735.05;9746.36;144297.17;93225.65;51642.16;15821.12;7617.76;7098.35;1887.88;884.48;481.86;285.06;1135.91;31735.13;472655.56;336118.19;248481.86;13980.85;39749.81;27766.14;17463.07;7569.33;3253.63;3035.22;2276.83;-5.26;-32.06;134.50;153.20;156.58;-92.59;-142.68;-134.53
4338.63;1717.96;2043.50;1747.11;2035.73;1187.13;1220.86;1060.47;919.37;377.79;126.88;300.28;91.42;-144.53;-19.46;130.43;230.57;208.33;321.66;281.92;370.35;1120.09;121.50;-321.91;140.08;185.03;92.64;-95.03;-47.96;-2.66;70.51;-416.51;32.37;-155.47;-116.50;-398.83;-335.45;101.82
3800.53;1570.92;1840.21;1807.72;2182.12;1287.96;1604.57;1119.29;659.82;463.25;187.92;66.65;183.04;317.17;-139.30;-126.69;197.02;52.50;363.65;478.92;468.98;1199.70;98.22;29.04;102.48;-67.36;18.41;247.35;71.66;-159.27;218.18;-151.45;84.73;-8.77;82.39;-24.56;-96.49;364.11
4034.73;1549.39;1558.62;1465.97;2075.28;1413.24;1276.17;1064.46;606.41;775.32;-307.44;346.58;-83.92;-160.02;-260.58;154.98;244.88;228.06;150.80;119.33;133.17;1005.50;50.45;-53.29;-140.85;-76.97;130.17;150.36;68.38;-69.27;55.54;409.83;350.16;63.54;260.96;-165.50;368.97;374.22
3818.09;1214.84;1765.72;1406.46;2374.44;1508.77;9031.39;143008.63;91645.33;50095.56;14958.18;7460.03;5866.86;1234.57;950.13;568.57;362.79;979.64;33017.54;491608.56;353430.53;258616.08;15441.57;42991.32;30099.63;20112.13;9480.48;3641.02;3977.24;2091.51;723.38;-134.33;130.46;354.33;26.35;233.57;297.69;435.70
3939.39;1998.51;1884.52;1517.38;2732.84;1825.36;11260.94;171619.58;109325.55;59553.07;18457.17;9133.92;7573.30;1893.61;913.28;342.35;89.56;1256.15;29663.24;435432.94;301513.78;219776.22;13977.45;36603.59;24461.64;17205.22;7128.46;3069.38;3339.43;1679.07;318.76;-193.54;-301.37;91.77;-412.34;-156.19;18.17;-133.67
3783.83;1846.61;1651.31;1421.28;2066.14;1419.11;1137.94;840.85;703.77;695.45;121.02;235.75;67.14;-21.51;-76.57;76.30;279.13;147.86;272.48;478.38;405.70;555.87;149.12;126.07;448.47;122.05;223.52;117.19;69.38;139.75;563.69;111.84;214.90;185.90;160.58;120.19;191.50;232.23
3783.40;1603.68;1644.56;1210.82;1998.32;1143.61;1146.66;768.92;855.42;583.52;366.59;234.75;261.76;194.90;6.81;70.20;172.23;2.42;286.38;430.49;73.03;805.17;44.20;98.90;687.81;147.24;26.32;82.86;67.14;-234.32;63.07;-401.06;-327.53;-270.68;-406.28;-177.52;-323.22;-242.38
20570.21;8603.91;8248.59;7814.49;11595.50;7878.17;42559.86;647119.13;412093.84;225357.09;70213.08;33342.55;29251.72;7356.79;3778.51;1837.10;928.76;4126.88;137307.78;2021111.50;1430973.75;1046775.19;65128.42;174671.64;119400.43;82556.10;35268.72;16015.58;15809.06;9228.26;2072.01;655.58;383.51;1008.39;216.62;335.39;153.41;680.37
3919.90;1666.46;2098.12;1378.77;2354.63;1653.94;933.45;974.52;590.50;680.28;528.60;96.61;291.95;141.62;6.30;134.81;100.96;159.57;259.56;80.12;371.08;740.76;290.37;-65.66;-47.45;-112.17;101.90;-71.34;74.82;75.96;298.33;145.62;58.32;-0.65;330.36;-44.98;34.09;322.74
3586.37;1421.56;1626.13;1540.27;2125.55;1165.70;1297.36;764.23;451.82;573.06;578.45;274.69;399.78;-12.25;-31.90;92.86;-48.77;31.84;118.17;-101.36;-30.48;1183.45;429.26;379.17;356.03;-85.74;224.59;270.35;-51.80;-14.32;219.32;-36.72;103.41;115.94;189.98;-26.94;27.66;218.81
4181.09;1563.38;1909.04;1408.29;1945.34;1504.69;1524.69;1333.13;822.57;608.49;537.77;-0.99;138.40;-197.48;-56.47;0.64;134.90;71.35;289.35;284.78;424.56;1063.02;170.54;271.82;-208.78;-85.94;76.97;-73.78;-67.98;30.00;119.88;-112.72;44.24;315.21;129.69;312.47;158.19;557.75
3617.30;1209.20;1606.83;1091.30;2202.86;1045.15;1226.12;697.05;575.03;384.12;425.57;333.05;301.99;223.68;168.32;188.81;26.36;265.54;207.86;286.78;352.71;420.73;229.32;154.43;39.19;123.53;190.88;137.16;-54.12;79.24;355.01;64.54;-277.17;-134.35;-198.60;-184.65;-92.19;-71.34
4893.42;2712.39;2687.54;2487.03;3679.42;2307.30;2000.75;1697.56;1336.02;789.30;762.50;386.04;364.09;164.88;-116.84;88.56;136.03;365.31;187.43;191.55;321.14;1020.84;62.27;254.70;204.83;206.76;17.02;74.06;-11.69;-48.97;339.11;-123.97;-145.39;-362.82;-256.30;-298.90;-246.00;-47.16
3923.97;1418.41;1855.00;1215.31;1965.69;1399.57;9413.93;145181.63;92913.20;50405.21;15228.85;7361.60;6642.64;1439.94;844.63;245.15;474.98;1055.70;33436.76;497595.25;358953.38;259695.31;16879.55;44444.73;30130.33;21305.00;8894.25;3840.63;3634.51;1676.57;787.04;301.40;51.90;646.95;605.46;126.01;547.37;857.03
4229.15;1856.25;1861.14;1525.84;2665.03;1423.45;1388.54;1276.19;950.01;636.28;327.84;248.98;-9.87;-64.58;9.31;89.60;90.77;149.58;212.04;447.78;375.68;1233.12;218.64;1.83;232.30;51.46;-29.70;164.08;31.47;161.69;113.40;-34.71;-243.01;-65.53;-136.79;-212.50;-290.03;86.85
4338.92;1860.60;2040.17;1678.01;2384.38;1590.58;9264.79;140943.78;90485.28;49406.14;15787.20;7318.29;6004.38;1798.92;635.41;609.27;63.16;904.28;32592.56;478599.56;342198.28;248324.13;15454.97;43641.17;27744.57;20189.46;8544.26;3782.41;3360.13;2027.06;-48.99;-323.34;-328.60;-107.86;-466.86;-354.17;-141.46;-334.17
14551.60;5458.62;5441.37;4460.48;6428.67;4231.56;24147.89;372103.16;237781.61;130320.50;41152.12;19414.29;15515.94;3759.98;2344.76;1059.87;651.67;2508.51;85771.40;1253708.25;898234.50;655545.88;38289.57;107972.67;74913.61;47426.74;20865.18;8964.00;8561.05;5265.94;1191.29;272.99;120.76;667.75;-129.82;-253.71;4.87;-133.47
3806.74;1827.11;2109.39;1656.29;2196.82;1375.73;998.48;1073.88;488.47;345.39;767.41;124.92;87.54;101.50;-68.57;208.18;356.24;172.57;200.97;148.57;716.96;589.42;-199.98;-84.75;88.31;33.96;52.00;-51.01;-245.64;167.83;348.91;236.56;72.23;183.06;27.09;-136.43;174.19;180.95
3940.93;1294.54;1582.57;1369.57;2005.24;1407.58;7587.23;118138.02;76757.11;41777.37;12496.28;6287.42;5560.08;1224.56;670.64;625.14;483.34;1024.43;26510.63;396970.81;281783.50;205169.42;12741.30;34769.28;24138.35;16598.78;7351.85;2726.33;2813.04;1594.08;881.19;210.67;-97.54;-37.13;289.00;2.42;-53.48;15.91
3982.14;1239.56;2011.74;1454.16;2110.89;1148.35;1401.30;737.41;665.48;562.64;376.66;377.31;-69.72;131.73;-167.77;23.02;167.37;263.52;222.17;241.66;194.58;687.94;-64.62;458.44;-52.63;71.67;78.36;-116.75;-39.03;188.13;309.38;-160.60;25.73;177.57;-98.39;-186.62;-22.51;-321.11
4153.64;1686.01;1924.49;1341.32;2379.87;1618.67;8546.56;144485.20;91781.29;49191.61;15624.12;7433.14;6074.35;1620.01;619.33;415.72;160.91;1032.10;31121.06;469988.09;335604.63;244183.98;14446.88;40750.94;28584.04;20900.85;8099.34;3294.84;4352.34;1967.92;500.66;306.39;270.28;520.37;565.83;121.95;255.95;824.16
4282.69;1716.23;1543.09;1595.38;2124.54;1445.88;9396.86;135921.41;88756.05;47256.49;14978.07;7436.00;6305.87;1475.20;1063.88;196.65;110.54;1345.47;32461.61;474402.41;339514.88;246589.28;14818.94;41789.51;28616.09;19244.84;8476.04;3795.22;3828.63;2307.61;593.42;6.76;18.42;294.73;361.25;-9.68;-62.16;195.43
3879.68;1577.81;1841.57;1662.05;2032.10;1196.46;1083.67;1130.42;750.70;609.77;503.41;-54.33;337.89;113.05;48.90;24.31;90.21;463.39;189.72;-39.99;286.43;1164.09;-72.77;6.62;205.55;134.17;177.16;184.89;-100.80;187.58;579.96;22.70;-39.77;-19.30;-60.37;-126.51;-350.68;-3.79
5225.67;2753.25;2696.89;2409.34;3979.41;2322.72;13271.41;195692.19;126717.91;66943.93;20794.74;9541.27;8584.97;2212.77;1293.06;471.37;337.13;1580.49;44577.54;674742.38;482832.13;349490.66;21014.90;56866.48;38872.17;27634.57;10978.74;4519.21;4738.14;2524.30;634.54;219.90;126.29;401.29;-94.06;-45.07;38.42;43.32
4099.63;1536.77;1807.93;1700.03;2152.63;1209.83;766.25;819.06;849.32;463.03;281.39;267.87;214.40;-4.57;196.74;22.02;56.92;119.05;129.74;255.10;191.26;1229.01;-112.81;-19.50;186.71;433.01;-32.52;54.37;55.73;20.38;500.91;142.43;-251.14;158.76;-18.39;253.87;-168.67;30.92
3926.80;1354.43;1447.59;1164.21;1903.69;1183.71;1060.96;942.05;704.72;498.33;241.78;112.69;238.89;-109.72;-21.74;152.69;54.75;332.58;323.15;434.71;170.89;1195.87;239.20;205.16;341.86;402.03;158.08;117.59;-115.94;-147.14;-32.00;-444.46;-97.49;-35.55;-369.83;-281.96;-476.75;-291.01
3348.14;1632.23;1555.29;1437.67;1849.57;1144.49;1411.42;1077.87;598.97;557.94;397.29;101.41;420.94;-57.10;214.59;36.32;17.99;129.67;452.25;531.30;450.80;886.34;27.71;349.68;313.66;212.98;292.89;220.58;52.84;115.30;394.99;13.55;298.65;361.81;-38.48;162.80;10.97;426.64
4996.43;2780.89;2473.42;2145.15;3288.07;1971.81;13440.73;201379.80;126209.70;69459.58;21146.35;10606.33;8643.07;1982.49;1666.75;545.63;146.17;847.99;40139.28;586956.81;408885.50;299238.09;18767.17;50359.67;33538.49;22920.11;9819.53;4423.51;4484.41;2671.09;346.05;82.88;-201.58;-139.87;-142.44;287.95;-284.76;-604.04
