V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
4250.65;1656.99;1745.55;1485.33;2429.92;1370.95;1225.12;1082.87;605.50;299.81;1229.49;120.42;794.73;4067.81;17348.87;11351.53;21.98;96.24;398.43;51.88;47.43;659.95;157.37;104.93;273.16;328.17;564.48;972.10;3376.22;3255.08;9179.16;1750.17;1422.78;11815.33;14236.25;44752.98;87500.45;220920.64
4384.33;1566.35;1639.38;1378.38;2635.46;1166.27;1377.42;1251.74;676.72;495.12;932.73;563.31;856.78;3541.45;15351.45;10608.69;417.84;-48.27;351.27;111.89;565.38;714.05;71.73;73.70;38.37;101.09;432.40;896.12;3656.97;3538.72;9718.46;2096.17;1230.76;12688.69;16528.16;46524.05;91183.37;228341.02
5924.59;3543.08;3621.47;3089.74;4434.32;2450.46;2100.00;2130.63;1147.68;1032.88;626.88;419.76;551.54;151.71;230.80;167.56;209.38;13.57;37.62;284.42;301.51;1139.67;360.42;25.98;231.80;400.64;118.36;28.49;167.34;165.99;329.32;33.03;31.14;245.78;161.28;-79.88;-35.35;96.80
4380.56;1497.64;1924.22;1558.10;2011.49;1397.90;871.75;847.68;607.96;457.62;371.37;115.15;224.48;43.32;145.73;232.73;236.82;164.77;420.30;135.17;338.09;788.33;41.16;279.49;256.13;170.68;-120.86;-117.39;158.49;6.30;233.53;-53.34;29.18;410.72;182.07;-108.38;-53.89;-274.00
4274.38;1253.81;1778.32;1489.04;2416.05;1042.52;1196.94;1057.45;645.00;671.36;408.27;342.60;160.14;153.45;190.27;102.70;189.13;9.91;218.07;250.33;74.22;903.74;-22.69;175.34;171.45;156.13;41.07;-154.24;-181.71;129.74;-153.39;-89.81;55.77;69.27;-129.45;-135.98;105.65;-553.63
10211.35;3780.50;4133.81;3053.24;4971.05;2722.32;2575.45;2328.34;1698.77;1440.92;2614.18;771.52;1778.70;8027.18;33366.69;23189.01;415.16;-16.38;302.22;525.40;683.43;1695.31;412.05;479.49;419.00;433.36;617.63;2257.41;7565.23;6713.03;19064.84;3854.19;2574.29;22029.76;29153.85;91003.52;182132.14;445810.91
4464.89;1763.47;1734.05;1588.80;2126.25;1073.85;1300.01;1176.66;982.86;573.94;1240.64;155.78;621.43;4162.20;16017.14;11215.31;84.14;-2.60;19.35;129.77;269.34;1057.27;-31.07;8.22;49.49;230.55;306.73;1085.57;3505.97;3290.67;9000.46;2625.69;1513.46;12234.14;16198.58;45737.06;93757.33;230227.14
4384.33;1696.73;1957.08;1467.37;2323.65;1314.16;1330.40;1036.85;835.49;759.80;616.16;238.21;243.18;60.51;45.64;149.35;42.01;259.11;215.60;185.83;302.51;974.45;144.10;199.18;374.19;79.16;129.37;-72.38;93.08;192.24;535.68;523.35;42.83;450.90;183.22;156.23;260.94;242.47
4823.56;1478.69;1709.31;1116.98;1803.77;1071.27;1039.04;828.00;752.00;346.32;1143.73;476.47;689.11;3969.46;16912.41;11026.02;66.89;78.00;205.11;179.66;327.89;1216.14;247.89;120.50;124.82;614.85;394.55;939.57;3535.59;3419.94;9741.54;1178.35;956.78;13016.90;15749.08;44811.87;96928.72;237770.64
4338.07;1678.82;2502.59;1574.32;2219.09;1504.87;1508.15;1078.70;878.71;746.62;559.68;170.57;-50.73;-71.68;190.10;-80.20;-166.81;7.18;128.75;-192.28;188.89;928.76;-252.65;-200.82;33.37;42.81;137.76;77.14;161.41;252.47;18.46;-82.71;-153.77;77.02;-165.57;-85.74;-230.41;122.78
4627.14;1560.93;1840.87;1509.62;2198.00;1105.23;1245.61;1096.63;703.30;664.72;1211.32;400.96;767.90;3953.35;15874.46;10840.10;388.28;-81.61;-7.74;76.89;450.44;1124.56;319.40;63.74;275.25;298.04;23.30;1320.99;3289.63;3386.34;9658.17;1979.80;1404.44;11568.62;15712.79;44758.56;89720.88;221565.92
4627.14;1911.37;2102.16;1626.77;2722.04;1499.26;1571.36;1293.07;815.83;1040.22;1208.31;525.62;754.24;3852.22;16376.58;11208.88;-42.14;60.91;361.80;403.62;541.78;1370.08;13.27;312.05;313.94;145.25;449.10;1292.43;3844.41;4091.00;9902.04;2392.07;1280.23;12844.16;15161.56;46912.67;93339.22;235503.55
4604.74;1845.66;2119.48;1630.35;2403.14;1413.02;1290.02;1016.95;915.36;727.23;550.12;352.85;304.11;-173.10;108.33;96.60;-34.64;311.84;378.32;154.15;215.99;915.29;103.97;-41.37;257.59;204.68;508.22;-65.38;148.64;-55.07;597.16;87.04;112.77;186.88;68.25;-62.45;-31.63;-1.59
13192.47;6931.76;9589.31;8942.03;15016.92;8879.59;8525.41;6839.32;5444.94;3944.75;2335.29;1484.74;1717.39;919.73;649.54;78.92;598.13;1332.04;2416.86;2330.88;2418.89;3730.77;444.61;961.04;1164.93;1119.68;570.56;550.07;670.51;257.05;1223.62;253.22;180.78;964.03;182.52;426.63;283.28;360.39
5331.50;2608.71;2448.50;2179.69;3321.68;2048.80;1922.90;1712.11;1201.40;434.81;584.44;449.89;393.91;4.44;123.94;224.29;95.46;72.54;135.81;193.14;230.53;1314.93;309.89;243.47;434.99;276.43;216.12;32.25;292.72;-158.80;361.19;152.38;59.42;113.67;-53.61;128.68;224.56;310.79
4185.42;1736.60;2004.02;1842.95;2492.48;1250.71;1492.52;1198.84;754.16;482.81;1146.05;448.59;785.15;4142.73;17880.43;12492.80;89.52;112.80;201.65;66.45;11.30;1045.08;131.96;349.58;-115.92;143.30;183.80;956.86;2679.13;2961.34;9097.04;1601.32;1564.98;10944.86;14637.54;44222.44;85340.01;217852.56
4445.79;1775.39;1779.10;1858.60;2097.77;1141.77;1350.59;993.63;619.54;379.02;606.43;281.35;312.53;202.88;218.06;163.70;218.52;75.84;188.82;272.26;432.85;679.13;106.06;39.22;206.01;166.50;127.90;-174.81;255.69;90.27;1.01;-94.88;-132.20;-71.70;-362.40;-302.26;-258.65;-411.63
4339.35;1538.50;1413.72;1369.22;2130.89;1055.32;935.36;1005.29;670.06;690.44;1273.01;362.53;471.12;3856.71;15238.80;10790.75;61.77;86.28;207.32;156.05;505.15;542.95;220.04;135.66;288.19;367.95;124.84;893.96;3740.72;2921.72;9712.20;2244.56;1581.44;12892.10;15722.73;46890.24;95307.34;233618.97
4511.71;1872.70;1831.44;1626.86;2444.79;1372.40;1188.30;1188.54;496.72;773.83;633.08;-7.82;77.76;121.10;273.01;-61.04;248.30;175.08;281.88;184.83;533.54;1024.26;125.58;99.13;138.49;-19.13;103.69;143.16;154.45;261.66;129.63;-191.45;-424.99;14.75;-47.92;-181.37;-135.52;-206.16
4210.90;1857.89;1811.92;1727.19;2559.99;1363.37;1213.39;837.47;588.38;638.17;462.68;278.46;223.94;12.46;30.75;-20.81;123.94;-154.82;-56.97;343.88;117.68;804.90;0.27;-87.58;-238.61;-23.48;174.10;-133.84;100.88;6.22;245.73;-128.08;65.76;302.33;44.25;54.66;181.23;-155.33
4505.80;1873.43;1979.24;1553.79;2920.57;1290.37;1258.29;1370.69;512.63;680.81;226.11;242.28;-42.48;-77.33;285.58;-12.22;310.81;119.45;361.89;196.86;-78.04;921.68;294.44;108.72;146.21;310.79;-118.68;-20.05;44.12;10.36;-141.83;203.99;106.94;294.25;114.11;190.15;68.91;526.17
4188.41;1778.32;1477.37;1256.25;2241.84;1031.92;754.23;1044.25;884.76;484.04;1313.78;396.98;571.45;4091.19;16527.04;11126.71;95.67;118.96;-117.18;271.17;431.03;613.94;-150.89;172.42;472.90;261.21;251.11;1161.91;2931.89;3455.45;9534.00;2048.46;1710.79;11434.27;15139.08;44028.36;88536.60;224320.38
