V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
3808.84;1558.13;1579.24;1352.61;2006.64;1140.94;1143.36;835.98;625.42;570.73;401.76;112.08;322.27;351.80;29.48;225.94;249.74;-91.13;122.76;174.44;343.10;829.64;120.14;596.16;-16.75;-41.97;-6.80;68.50;-35.71;136.43;218.44;-116.29;-207.07;-148.32;-335.80;-159.80;-253.04;29.82
3292.89;1625.73;1844.12;1502.42;2138.85;1245.45;1165.16;985.79;692.19;735.98;415.71;251.79;544.42;228.29;131.94;247.32;250.08;143.10;552.87;166.81;294.63;975.87;-25.18;151.05;229.12;179.61;47.71;40.77;-251.73;69.15;633.53;33.07;119.27;34.90;-346.40;-98.50;-290.12;-397.39
3797.11;1890.61;1607.67;1172.45;2505.91;1322.09;847.79;1023.65;716.30;738.13;519.94;136.42;311.28;15.99;182.66;22.02;-83.01;279.81;162.05;191.23;537.87;1004.45;-280.68;205.11;4.50;12.64;-272.58;-53.53;-165.42;-270.39;-39.02;115.91;-34.50;16.33;-80.87;198.96;-43.37;31.12
4025.48;1607.00;1580.12;1398.48;2064.69;1220.69;1386.89;867.32;579.74;631.40;374.00;473.66;504.52;243.08;250.34;150.16;158.14;90.34;286.92;78.57;252.71;820.33;-204.51;32.74;-181.17;60.23;37.25;82.42;74.26;8.10;323.05;193.38;225.49;64.72;114.11;320.26;40.51;-39.40
4125.88;1700.05;1740.37;1425.55;2219.26;1203.52;1052.28;668.16;586.01;675.93;505.61;197.32;331.27;130.57;159.43;-55.05;157.79;302.59;-113.18;409.34;174.31;897.35;-2.99;-14.66;-50.90;-77.69;-83.93;-86.02;7.89;117.92;532.99;68.45;173.34;210.11;370.03;176.29;75.09;447.93
3407.21;1387.71;1775.20;1174.76;2396.49;1382.70;1329.58;1051.40;530.35;426.46;225.51;-232.77;308.78;103.00;-38.32;27.85;151.94;45.23;193.55;346.65;333.76;837.36;-121.59;125.30;-79.10;97.38;235.01;79.18;106.33;183.56;954.90;308.95;192.39;-205.56;-90.39;171.49;-32.53;73.14
4192.70;1353.22;1717.43;1352.91;2181.38;1159.04;1284.94;1022.38;681.64;586.12;390.66;239.29;56.14;58.56;43.10;21.78;129.57;283.69;428.09;329.36;255.81;1123.92;-93.38;73.10;-16.26;184.28;275.72;4.24;223.02;253.14;498.39;-21.95;-433.58;266.38;-200.91;-97.47;-289.62;56.37
4634.68;1702.80;1862.32;1401.31;2163.48;1004.13;1233.89;1063.23;816.61;531.12;410.12;344.85;80.59;78.99;-104.99;-8.84;190.95;14.58;306.54;-42.40;348.61;940.81;211.21;-215.29;115.19;257.30;147.10;32.21;313.06;133.96;1141.34;198.41;220.60;456.71;21.40;249.61;283.45;745.71
4311.34;1567.95;1850.96;1407.46;2086.79;1305.09;1516.79;1041.45;698.84;328.82;392.81;195.25;489.03;255.12;74.62;17.16;77.21;171.20;433.40;471.75;502.97;1240.93;51.67;19.31;68.61;0.00;50.13;207.74;-57.89;189.19;444.10;282.30;-87.80;79.18;53.44;-8.61;-226.12;-73.10
4210.30;1943.14;2247.10;1895.75;2333.54;1389.71;1243.83;881.43;762.11;469.23;654.01;457.62;184.71;-14.49;157.40;141.60;171.84;91.61;355.59;314.70;-35.95;842.70;-129.52;332.10;532.88;-88.37;-57.73;100.07;14.25;244.85;-451.76;184.65;-34.92;52.81;-333.08;-87.84;-311.97;169.00
3534.03;1514.86;1767.66;1344.85;2075.98;1140.15;1013.33;1013.35;701.74;311.02;252.50;244.09;125.36;41.95;43.15;247.92;-57.13;-85.05;-81.99;303.94;458.96;1216.55;319.17;23.56;22.34;339.77;145.31;14.72;204.29;93.17;824.76;179.53;-75.21;889.04;257.49;-51.75;79.79;400.29
3366.91;1642.22;1998.45;1439.20;1690.11;1180.16;1186.91;781.33;857.96;452.44;259.35;135.42;292.41;-60.84;3.30;18.68;-30.43;107.42;297.72;266.76;356.91;949.85;206.55;226.48;236.38;173.03;386.44;290.12;-13.53;-14.04;660.06;291.83;24.08;556.20;496.01;255.14;100.82;308.96
3620.68;2094.74;2295.75;1923.44;2244.02;1070.52;1249.30;804.95;735.32;573.99;642.34;419.63;397.24;71.85;154.70;29.49;54.27;208.73;426.15;542.33;309.43;793.03;-86.18;-179.04;248.87;42.01;140.62;28.53;135.35;-15.68;359.17;-86.07;-219.62;-22.71;-233.37;99.48;-81.06;-11.34
3935.97;1390.17;1875.18;1807.76;2422.04;1232.39;1030.66;1627.35;724.30;313.96;186.76;481.18;304.36;29.36;204.86;-78.84;-36.24;232.91;203.31;165.45;640.28;1090.18;192.82;-199.08;8.08;215.73;-8.67;243.83;234.55;94.18;-124.29;40.08;-142.12;-142.35;-115.63;-111.91;-56.10;91.62
3845.68;1600.58;1882.33;1533.60;2261.31;1421.70;1564.11;1427.66;528.79;592.98;339.30;138.93;383.79;-159.35;50.42;-30.06;-115.44;203.22;179.24;433.17;326.47;866.71;178.56;103.24;-58.76;143.90;110.21;24.41;222.34;39.15;122.57;301.52;49.51;78.08;378.07;205.40;146.61;187.48
3640.68;1359.30;1791.17;1440.07;1980.61;1044.89;1525.73;784.35;614.31;536.58;339.17;257.75;-146.14;344.33;70.22;-227.15;236.17;189.92;271.31;352.60;507.07;720.99;-132.14;2.01;57.98;196.39;-140.78;-103.39;-143.24;-156.06;438.51;-289.48;-118.04;385.21;276.96;-52.16;-131.84;111.73
3511.29;1680.07;2004.90;1502.12;2484.82;1209.26;1221.43;1084.84;786.01;474.59;199.20;187.86;359.21;111.18;89.72;210.07;-57.74;-42.68;428.22;325.77;355.59;988.06;1.99;-13.97;-35.10;185.87;15.47;-118.99;112.81;-200.02;245.14;-44.32;20.03;-351.41;165.53;26.45;-273.13;-241.57
3673.36;1483.56;1804.46;1257.29;2261.04;1262.02;955.89;864.78;845.86;593.46;487.40;7.09;284.46;295.45;247.63;-1.29;107.16;80.60;423.45;169.72;146.79;1068.82;-78.71;282.60;145.16;-97.94;261.92;120.71;-43.32;-71.03;-201.87;98.28;88.48;429.81;428.63;57.12;-351.82;468.74
3911.81;1669.26;1575.55;1432.40;2118.51;1341.64;1280.43;924.16;880.52;461.32;451.10;376.14;67.34;76.54;9.48;116.89;42.53;37.09;248.04;331.90;228.89;833.39;203.38;-153.33;38.50;9.69;180.78;-11.68;-180.95;0.55;981.34;431.32;189.84;274.91;519.07;139.34;44.89;402.66
3733.76;1775.74;1832.84;1521.65;2104.86;1125.78;1178.18;1158.91;811.42;402.41;148.53;365.86;-4.79;123.18;-11.68;41.07;87.87;333.37;343.71;561.17;286.06;921.63;-11.59;130.09;-83.86;266.87;423.62;321.05;169.42;21.90;314.94;60.43;74.52;64.96;-359.97;-74.18;-94.60;-140.00
4354.26;1654.58;2026.53;1526.14;2169.47;1404.56;1311.08;1131.78;591.93;668.54;534.11;380.60;114.70;148.55;36.34;29.09;22.06;257.13;429.03;300.94;393.99;533.27;41.98;162.28;46.36;35.64;45.36;-134.24;-92.08;3.99;678.39;152.46;168.70;283.12;-157.37;-62.21;146.90;658.87
3803.02;1609.24;2111.06;1364.16;2292.63;1424.54;1513.88;996.22;843.27;560.40;106.08;263.98;357.96;-36.51;73.01;238.68;87.65;229.56;269.73;329.27;430.53;970.80;29.48;-188.17;156.51;-43.01;35.23;111.47;-130.79;108.66;391.42;96.06;58.02;366.56;211.51;371.76;-81.02;221.01
3566.63;1722.99;1730.19;990.98;2210.99;947.74;1214.70;1244.11;622.35;527.12;338.99;475.30;215.53;112.51;31.22;102.82;46.95;-5.64;586.35;371.80;174.13;1132.37;304.86;-76.67;388.40;-97.34;-115.10;42.93;-123.66;-78.93;552.76;-131.81;-133.01;688.15;-326.98;-343.27;-373.96;-376.06
3452.35;1459.62;1643.24;1733.82;2380.52;1180.16;1240.27;1142.69;725.90;459.38;-372.88;-66.52;99.75;256.32;-1.90;-76.83;385.20;184.81;289.35;171.58;145.15;996.37;200.12;247.90;103.43;-63.70;146.19;-12.88;285.60;11.46;763.88;-25.60;250.63;467.11;470.90;12.55;47.47;567.62
4271.51;1840.28;1972.79;1327.89;2454.68;1058.52;1285.51;1184.81;663.58;589.99;317.73;543.94;346.43;62.96;-226.44;296.42;176.43;403.89;130.54;371.12;125.97;714.64;112.26;489.72;-81.32;-216.48;-98.40;41.01;-80.15;-424.33;192.16;267.07;22.54;315.90;132.87;-174.81;154.39;289.01
4286.97;2065.72;1717.91;1602.79;2282.96;1299.04;1312.90;1081.81;615.78;503.69;503.41;390.54;299.57;-155.53;-137.39;104.15;256.58;269.86;253.17;165.68;333.99;622.66;163.12;-88.31;423.82;14.11;48.74;-93.35;116.42;133.34;889.22;-67.61;191.50;217.10;-380.46;-438.03;-378.38;-54.13
4364.41;2184.82;1937.95;1982.13;2475.59;1167.93;1462.91;1342.64;896.51;661.20;674.16;680.62;227.36;145.85;-11.04;117.37;98.88;95.09;167.04;182.02;437.82;897.03;-82.83;-55.07;340.04;228.24;55.98;2.56;-80.23;-74.51;536.95;-121.91;19.23;55.05;144.83;-261.79;22.42;131.88
3741.90;1653.41;1785.16;1387.36;2338.13;1208.07;1211.70;999.20;1013.59;493.85;501.82;133.39;113.57;49.79;6.68;-186.16;-16.34;-89.10;319.90;79.93;380.82;946.42;74.58;-7.21;673.91;-57.08;189.25;-18.00;-70.50;68.96;478.00;214.32;346.59;267.72;269.08;-64.13;54.34;234.72
4101.04;1747.58;1828.76;1760.28;1854.08;1240.63;1057.23;1098.16;738.56;386.58;304.77;335.94;138.40;120.06;-96.87;-1.93;-6.59;115.75;233.96;296.99;182.69;626.08;165.83;-108.17;293.32;8.01;-47.83;285.56;-60.97;46.00;882.74;208.44;-52.92;469.06;373.50;218.07;367.90;108.34
3948.09;1631.07;1641.88;1832.75;2461.99;1148.39;1756.88;1223.03;862.63;657.03;173.11;156.26;233.40;19.48;-60.58;61.80;331.19;322.41;223.47;308.12;588.75;740.39;261.88;-64.89;17.25;66.29;370.70;104.63;62.89;96.76;147.50;-66.93;-25.82;-167.25;-366.07;-222.54;15.18;-377.00
3649.12;2154.42;1701.41;1376.72;2608.94;1297.73;1399.95;1257.04;863.76;486.42;672.13;-84.63;457.92;277.55;-1.35;-10.13;-33.64;112.09;340.20;-51.97;245.52;1071.24;80.02;21.73;95.90;171.12;-17.02;212.74;-108.37;134.20;257.54;557.85;-13.14;758.79;128.79;430.24;81.63;177.08
3941.23;1295.36;1559.58;1508.57;2118.64;1267.84;1211.57;1085.28;479.83;761.91;586.63;-8.47;116.24;105.32;-44.75;-34.40;-1.26;50.56;274.95;186.47;370.62;709.90;-46.51;130.18;222.22;-122.25;30.06;-87.26;177.23;83.98;568.73;1.13;-100.98;840.77;298.85;236.16;121.82;256.91
4340.21;1737.29;1721.11;1657.95;1841.39;1399.48;936.53;826.47;787.35;380.03;299.51;36.09;110.16;211.39;63.03;-8.08;63.64;189.66;442.08;192.50;607.16;1135.79;-87.26;-117.67;129.63;217.92;274.76;-59.30;201.85;-82.14;310.52;339.58;-44.54;348.07;-68.17;86.20;51.15;-122.25
4195.57;1897.29;1499.22;1500.59;2030.04;1189.45;1352.50;1051.92;847.16;303.98;478.48;299.16;34.57;-140.16;-173.98;-275.36;269.85;212.07;181.49;300.31;584.97;1018.92;428.49;545.24;305.04;34.48;110.05;-61.62;107.77;43.65;148.22;-191.61;-337.36;224.57;49.65;-239.19;-164.70;-571.78
4542.80;1719.25;1897.55;1585.40;2278.24;1418.41;1206.40;1012.52;702.65;423.77;571.99;159.59;482.78;83.31;120.30;425.40;2.21;-42.46;322.97;87.51;246.56;853.98;-186.98;118.45;199.74;-120.94;158.00;86.62;-18.42;23.86;66.73;56.11;170.40;415.02;99.22;160.58;217.53;-123.72
4028.91;1589.73;1950.02;1667.93;2011.89;1464.07;1027.40;1066.87;545.73;484.31;595.03;407.01;407.40;-95.89;253.72;130.51;-45.30;1.89;203.76;133.00;456.54;979.25;73.77;297.62;182.80;56.80;-149.49;105.59;10.49;70.52;431.45;14.86;423.29;-3.70;-13.77;-0.82;-2.50;35.08
4034.78;1658.93;1599.24;1574.67;2186.36;1533.30;1223.73;1077.30;824.30;412.30;430.35;327.17;104.29;110.39;180.71;-33.23;203.70;136.76;359.10;-2.00;344.42;1117.94;119.33;246.98;193.84;123.45;38.68;71.78;2.24;0.94;39.57;-26.82;-83.20;-230.55;-305.99;-134.34;-157.25;29.66
3446.91;1720.37;1642.80;1679.23;1917.74;881.31;1033.13;1017.47;531.17;403.60;423.46;261.42;122.86;100.00;133.76;57.22;48.33;-9.38;230.22;33.63;601.97;1245.49;52.26;49.31;208.05;58.40;178.79;46.61;196.56;195.17;250.60;220.57;307.41;207.23;-151.84;173.91;131.10;268.86
